Tissue,Disease,Species,symbol,ID,Platform,Type,Expression,Target,Pathway,Method,Drug,Function,PMID,Title,Year
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,WNT3A,89780,Gene,mRNA,down-regulation,NA,WNT/B-CATENIN signaling pathway,Immunohistochemistry;  qRT-PCR etc.,no,"In IPF lung specimens, Wnt1, 7b, and 10b mRNA levels were markedly upregulated (log-fold change of 1.19+-0.43, 1.05+-0.43, And 1.58+-0.59, Respectively), whereas Wnt3a was significantly downregulated (log-fold change  1.93+-0.65).",18478089,Functional Wnt signaling is increased in idiopathic pulmonary fibrosis,2008
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,THY1,7070,Gene,mRNA,promoter hypomethylation,NA,NA,qRT-PCR; MSP; MSPISH etc.,no,"In IPF samples in which Thy-1 expression is absent, the Thy-1 promoter region is methylated, whereas in lung samples retaining Thy-1 expression, the promoter region is unmethylated. Treatment with DNA methyltransferase inhibitors restores Thy-1 expression in Thy-1(-) fibroblasts.",18556592,Thy-1 promoter hypermethylation: a novel epigenetic pathogenic mechanism in pulmonary fibrosis,2008
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,NOX4,50507,Gene,mRNA,histone acetylation,NA,NA,qRT-PCR; Immunoblot; Chromatin immunoprecipitation assay etc.,no,"In replicative senescent fibroblasts, the Nox4 gene is enriched with the activation histone mark, H4K16Ac, and inversely associated with the repressive histone mark, H4K20Me3, supporting an active transcriptional chromatin conformation. Silencing of the histone acetyltransferase Mof, which specifically acetylates H4K16, down-regulates Nox4 gene/protein expression.",25526894,Epigenetic mechanisms regulate NADPH oxidase-4 expression in cellular senescence,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PLA2G2A,5320,Gene,mRNA,up-regulation,NA,NA,Cell Culture; Microarray Statistical Data Analysis; Gene Expression Analysis,no,"Ingenuity pathway analysis classification revealed enrichment of several pathways and functional groups among common up-regulated genes. For instance, PLA2G2A/Pla2 g2a, phospholipase A2, group VII (PLA2G7/Pla2 g7), prostaglandin E synthase (PTGES/Ptges), and glycerol-3-phosphate dehydrogenase 1 (GPD1/Gpd1) are eicosanoid signaling components, suggesting that the dysregulation of this particular pathway is well conserved between the animal model and IPF, a finding of significant interest considering the phenotype of prostaglandin synthase 2 knockout mice. ",25029475,A novel genomic signature with translational significance for human idiopathic pulmonary fibrosis,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PLA2G7,7941,Gene,mRNA,up-regulation,NA,NA,Cell Culture; Microarray Statistical Data Analysis; Gene Expression Analysis,no,"Ingenuity pathway analysis classification revealed enrichment of several pathways and functional groups among common up-regulated genes. For instance, PLA2G2A/Pla2 g2a, phospholipase A2, group VII (PLA2G7/Pla2 g7), prostaglandin E synthase (PTGES/Ptges), and glycerol-3-phosphate dehydrogenase 1 (GPD1/Gpd1) are eicosanoid signaling components, suggesting that the dysregulation of this particular pathway is well conserved between the animal model and IPF, a finding of significant interest considering the phenotype of prostaglandin synthase 2 knockout mice. ",25029475,A novel genomic signature with translational significance for human idiopathic pulmonary fibrosis,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PTGES,9536,Gene,mRNA,up-regulation,NA,NA,Cell Culture; Microarray Statistical Data Analysis; Gene Expression Analysis,no,"Ingenuity pathway analysis classification revealed enrichment of several pathways and functional groups among common up-regulated genes. For instance, PLA2G2A/Pla2 g2a, phospholipase A2, group VII (PLA2G7/Pla2 g7), prostaglandin E synthase (PTGES/Ptges), and glycerol-3-phosphate dehydrogenase 1 (GPD1/Gpd1) are eicosanoid signaling components, suggesting that the dysregulation of this particular pathway is well conserved between the animal model and IPF, a finding of significant interest considering the phenotype of prostaglandin synthase 2 knockout mice. ",25029475,A novel genomic signature with translational significance for human idiopathic pulmonary fibrosis,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,GPD1,2819,Gene,mRNA,up-regulation,NA,NA,Cell Culture; Microarray Statistical Data Analysis; Gene Expression Analysis,no,"Ingenuity pathway analysis classification revealed enrichment of several pathways and functional groups among common up-regulated genes. For instance, PLA2G2A/Pla2 g2a, phospholipase A2, group VII (PLA2G7/Pla2 g7), prostaglandin E synthase (PTGES/Ptges), and glycerol-3-phosphate dehydrogenase 1 (GPD1/Gpd1) are eicosanoid signaling components, suggesting that the dysregulation of this particular pathway is well conserved between the animal model and IPF, a finding of significant interest considering the phenotype of prostaglandin synthase 2 knockout mice. ",25029475,A novel genomic signature with translational significance for human idiopathic pulmonary fibrosis,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CDKN2B,1030,Gene,mRNA,dna methylation,NA,NA,DNA methylation analysis; qRT-PCR; Immunoblot etc.,no,"IPF fibroblasts exhibit global differences in DNA methylation that may contribute to the excessive fibroproliferation associated with this disease. DNA methylation differences in 3 genes (CDKN2B, CARD10, and MGMT) corresponded with differences in gene expression at the mRNA and protein level.",25215577,Lung fibroblasts from patients with idiopathic pulmonary fibrosis exhibit genome-wide differences in DNA methylation compared to fibroblasts from nonfibrotic lung,2014
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CARD10,29775,Gene,mRNA,dna methylation,NA,NA,DNA methylation analysis; qRT-PCR; Immunoblot etc.,no,"IPF fibroblasts exhibit global differences in DNA methylation that may contribute to the excessive fibroproliferation associated with this disease. DNA methylation differences in 3 genes (CDKN2B, CARD10, and MGMT) corresponded with differences in gene expression at the mRNA and protein level.",25215577,Lung fibroblasts from patients with idiopathic pulmonary fibrosis exhibit genome-wide differences in DNA methylation compared to fibroblasts from nonfibrotic lung,2014
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MGMT,4255,Gene,mRNA,dna methylation,NA,NA,DNA methylation analysis; qRT-PCR; Immunoblot etc.,no,"IPF fibroblasts exhibit global differences in DNA methylation that may contribute to the excessive fibroproliferation associated with this disease. DNA methylation differences in 3 genes (CDKN2B, CARD10, and MGMT) corresponded with differences in gene expression at the mRNA and protein level.",25215577,Lung fibroblasts from patients with idiopathic pulmonary fibrosis exhibit genome-wide differences in DNA methylation compared to fibroblasts from nonfibrotic lung,2014
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CDKN2A,1029,Gene,mRNA,dna hypermethylation,NA,NA,Genomic DNA digestion and promoter amplification; qRT-PCR;  etc.,no,"IPF fibroblasts have reduced expression of the proapoptotic p14(ARF) attributable to promoter hypermethylation, wand the p14(ARF)-hypermethylated IPF fibroblasts were significantly more resistant to staurosporine-and S-nitrosoglutathione-induced apoptosis compared with normal and nonmethylated IPF fibroblasts (P < 0.01) And showed reduced levels of p53.",22707614,Hypermethylation-mediated silencing of p14(ARF) in fibroblasts from idiopathic pulmonary fibrosis,2012
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CLDN5,7122,Gene,mRNA,dna methylation,NA,NA,MSP; qRT-PCR;  etc.,no,"IPF samples demonstrated higher DNA methyltransferase expression without observed alterations in global DNA methylation. Among the genes whose DNA methylation status and RNA expression were both significantly altered, 16 genes were hypermethylated in DNA associated with decreased mRNA expression or vice versa.Changes in DNA methylation correspond to altered mRNA expression of a number of genes, some with known and others with previously uncharacterized roles in IPF, suggesting that DNA methylation is important in the pathogenesis of IPF.",22700861,Altered DNA methylation profile in idiopathic pulmonary fibrosis,2012
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,ZNF467,168544,Gene,mRNA,dna methylation,NA,NA,MSP; qRT-PCR;  etc.,no,"IPF samples demonstrated higher DNA methyltransferase expression without observed alterations in global DNA methylation. Among the genes whose DNA methylation status and RNA expression were both significantly altered, 16 genes were hypermethylated in DNA associated with decreased mRNA expression or vice versa.Changes in DNA methylation correspond to altered mRNA expression of a number of genes, some with known and others with previously uncharacterized roles in IPF, suggesting that DNA methylation is important in the pathogenesis of IPF.",22700861,Altered DNA methylation profile in idiopathic pulmonary fibrosis,2012
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TP53INP1,94241,Gene,mRNA,dna methylation,NA,NA,MSP; qRT-PCR;  etc.,no,"IPF samples demonstrated higher DNA methyltransferase expression without observed alterations in global DNA methylation. Among the genes whose DNA methylation status and RNA expression were both significantly altered, 16 genes were hypermethylated in DNA associated with decreased mRNA expression or vice versa.Changes in DNA methylation correspond to altered mRNA expression of a number of genes, some with known and others with previously uncharacterized roles in IPF, suggesting that DNA methylation is important in the pathogenesis of IPF.",22700861,Altered DNA methylation profile in idiopathic pulmonary fibrosis,2012
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,DDAH1,23576,Gene,mRNA,dna methylation,NA,NA,MSP; qRT-PCR;  etc.,no,"IPF samples demonstrated higher DNA methyltransferase expression without observed alterations in global DNA methylation. Among the genes whose DNA methylation status and RNA expression were both significantly altered, 16 genes were hypermethylated in DNA associated with decreased mRNA expression or vice versa.Changes in DNA methylation correspond to altered mRNA expression of a number of genes, some with known and others with previously uncharacterized roles in IPF, suggesting that DNA methylation is important in the pathogenesis of IPF.",22700861,Altered DNA methylation profile in idiopathic pulmonary fibrosis,2012
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,KCNJ2,3759,Gene,mRNA,up-regulation,NA,NA,qRT-PCR; ELISA; Statistical analysis etc.,no,KCNJ2 may be an indicator of the development of IPF and a surrogate marker for IPF differential diagnosis.,32184906,Upregulation of Potassium Voltage-Gated Channel Subfamily J Member 2 Levels in the Lungs of Patients with Idiopathic Pulmonary Fibrosis,2020
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,FGF7,2252,Gene,mRNA,up-regulation,NA,ERK-1 AND P38 MAP KINASE signaling pathway,"Quantitative Analysis of KGF, JunB, and c-Jun mRNA;  Statistical Analysis etc.",no,Keratinocyte growth factor (KGF) is secreted by fibroblasts and protects from pulmonary fibrosis in animal models.,15677771,Keratinocyte growth factor expression by fibroblasts in pulmonary fibrosis: poor response to interleukin-1beta,2005
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,LEF1,51176,Gene,mRNA,up-regulation,NA,WNT/B-CATENIN signaling pathway,Immunohistochemistry;  qRT-PCR etc.,no,Lef1 was significantly upregulated in IPF (log-fold change 0.85+-0.34).,18478089,Functional Wnt signaling is increased in idiopathic pulmonary fibrosis,2008
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PTGS2,5743,Gene,mRNA,histone hypermethylation,NA,NA,qRT-PCR;  ELISA etc.,no,"Marked increases in H3K9me3, H3K27me3, and DNA methylation, together with their respective modifying enzymes G9a, EZH2, and DNA methyltransferases (Dnmts) and respective binding proteins heterochromatin protein 1 (HP1), polycomb protein complex 1 (PRC1) and methyl CpG binding protein 2 (MeCP2), at the COX-2 promoter in lung fibroblasts from patients with IPF (F-IPFs) can induce COX-2 expression silence. G9a and EZH2 and the Dnmt1 inhibitor markedly reduced H3K9me3 (49-79%), H3K27me3 (44-81%), and DNA methylation (61-97%) at the COX-2 promoter. These reductions were correlated with increased histone H3 and H4 acetylation, resulting in COX-2 mRNA and protein reexpression in F-IPFs.",24652950,A central role for G9a and EZH2 in the epigenetic silencing of cyclooxygenase-2 in idiopathic pulmonary fibrosis,2014
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PTGS2,5743,Gene,mRNA,dna methylation,NA,NA,qRT-PCR;  ELISA etc.,no,"Marked increases in H3K9me3, H3K27me3, and DNA methylation, together with their respective modifying enzymes G9a, EZH2, and DNA methyltransferases (Dnmts) and respective binding proteins heterochromatin protein 1 (HP1), polycomb protein complex 1 (PRC1) and methyl CpG binding protein 2 (MeCP2), at the COX-2 promoter in lung fibroblasts from patients with IPF (F-IPFs) can induce COX-2 expression silence. G9a and EZH2 and the Dnmt1 inhibitor markedly reduced H3K9me3 (49-79%), H3K27me3 (44-81%), and DNA methylation (61-97%) at the COX-2 promoter. These reductions were correlated with increased histone H3 and H4 acetylation, resulting in COX-2 mRNA and protein reexpression in F-IPFs.",24652950,A central role for G9a and EZH2 in the epigenetic silencing of cyclooxygenase-2 in idiopathic pulmonary fibrosis,2014
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SMURF2,64750,Gene,mRNA,up-regulation,SMURF2,NA,qRT-PCR; Dual-luciferase reporter assay;  etc.,no,"Micrornas chips and real-time PCR confirmed in A549 EMT model has six, three cut micrornas, the expression level of miR - 424 through targeted Smurf2 enhance TGF - beta signaling pathways regulating muscle into fiber cell differentiation 6 up-regulated and 3 down-regulated miRNAs in a human lung epithelial cell EMT model were validated using miRNA microarray and real-time PCR. Up-regulated miR-424 regulates the myofibroblast differentiation during EMT by potentiating the TGF-B signaling pathway through Smurf2.",25524739,Regulation of myofibroblast differentiation by miR-424 during epithelial-to-mesenchymal transition,2014
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,IGF1,3479,Gene,mRNA,down-regulation,IGF-1,NA,Dual-luciferase reporter assay; ELISA; qRT-PCR etc.,no,"MiR-130b-3p was downregulated in IPF lungs. MiR-130b-3p downregulation contributed to the activation of fibroblasts and the dysregulated epithelial-mesenchymal crosstalk by promoting IGF-1 secretion from lung epithelium, suggesting a key regulatory role for this miRNA in preventing lung fibrosis.",26953888,MiR-130b-3p Modulates Epithelial-Mesenchymal Crosstalk in Lung Fibrosis by Targeting IGF-1,2016
lung,pulmonary_fibrosis,homo_sapiens,TGFBR1,7046,Gene,mRNA,dysregulation,TGFBR1; TGFBR2,TGF-beta/SMAD signaling pathway,qRT-PCR;  Immunofluorescence etc.,no,"MiR-1343 reduces the expression of both TGF-B receptor 1 and 2 by directly targeting their 3'-UTRs. As a result, the abundance of fibrotic markers is reduced, cell migration into a scratch wound impaired and epithelial-to-mesenchymal transition (EMT) repressed. Mature miR-1343 is readily detected in human neutrophils and HL-60 cells and is activated in response to stress in A549 lung epithelial cells. MiR-1343 may have direct therapeutic applications in fibrotic lung disease.",26542979,MiR-1343 attenuates pathways of fibrosis by targeting the TGF-beta receptors,2016
lung,pulmonary_fibrosis,homo_sapiens,TGFBR2,7048,Gene,mRNA,dysregulation,TGFBR1; TGFBR2,TGF-beta/SMAD signaling pathway,qRT-PCR;  Immunofluorescence etc.,no,"MiR-1343 reduces the expression of both TGF-B receptor 1 and 2 by directly targeting their 3'-UTRs. As a result, the abundance of fibrotic markers is reduced, cell migration into a scratch wound impaired and epithelial-to-mesenchymal transition (EMT) repressed. Mature miR-1343 is readily detected in human neutrophils and HL-60 cells and is activated in response to stress in A549 lung epithelial cells. MiR-1343 may have direct therapeutic applications in fibrotic lung disease.",26542979,MiR-1343 attenuates pathways of fibrosis by targeting the TGF-beta receptors,2016
lung,pulmonary_arterial_hypertension,homo_sapiens,PTPN11,5781,Gene,mRNA,down-regulation,SHP2,STAT3-MIR-204-SRC-STAT3-NFAT signaling pathway,TLDAS; qRT-PCR; Dual-luciferase reporter assay etc.,no,"MiR-204 expression in PASMCs is down-regulated in both human and rodent PAH. MiR-204 down-regulation correlates with PAH severity and accounts for the proliferative and antiapoptotic phenotypes of PAH-PASMCs. STAT3 activation suppresses miR-204 expression, and miR-204 directly targets SHP2 expression, thereby SHP2 up-regulation, by miR-204 down-regulation, activates the Src kinase and nuclear factor of activated T cells (NFAT). STAT3 also directly induces NFATc2 expression. NFAT and SHP2 were needed to sustain PAH-PASMC proliferation and resistance to apoptosis. Finally, delivery of synthetic miR-204 to the lungs of animals with PAH significantly reduced disease severity.",21321078,Role for miR-204 in human pulmonary arterial hypertension,2011
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SMAD7,4092,Gene,mRNA,up-regulation,SMAD7,NA,Northern Blot; qRT-PCR; Dual-luciferase reporter assay etc.,no,"MiR-21 is up-regulated in the lungs of mice with bleomycin-induced fibrosis and also in the lungs of patients with IPF, and was primarily localized to myofibroblasts. Administration of miR-21 antisense probes diminished the severity of experimental lung fibrosis in mice, even when treatment was started 5-7 d after initiation of pulmonary injury. TGF-Beta1 enhanced miR-21 expression in primary pulmonary fibroblasts. Increasing miR-21 levels promoted, whereas knocking down miR-21 attenuated, the pro-fibrogenic activity of TGF-Beta1 in fibroblasts. A potential mechanism for the role of miR-21 in fibrosis is through regulating the expression of an inhibitory Smad, Smad7.",20643828,MiR-21 mediates fibrogenic activation of pulmonary fibroblasts and lung fibrosis,2010
lung,cystic_fibrosis,homo_sapiens,CTSS,1520,Gene,mRNA,up-regulation,IRF-1,MIR-31/IRF-1/CTSS signaling pathway,ELISA;  qRT-PCR etc.,no,"MiR-31, which is decreased in the CF airways, regulates IRF-1 in CF epithelial cells. Treating CF bronchial epithelial cells with a miR-31 mimic decreased IRF-1 protein levels with concomitant knockdown of CTSS expression and secretion.",24940638,MiR-31 dysregulation in cystic fibrosis airways contributes to increased pulmonary cathepsin S production,2014
lung,cystic_fibrosis,homo_sapiens,IRF1,3659,Gene,mRNA,up-regulation,IRF-1,MIR-31/IRF-1/CTSS signaling pathway,ELISA;  qRT-PCR etc.,no,"MiR-31, which is decreased in the CF airways, regulates IRF-1 in CF epithelial cells. Treating CF bronchial epithelial cells with a miR-31 mimic decreased IRF-1 protein levels with concomitant knockdown of CTSS expression and secretion.",24940638,MiR-31 dysregulation in cystic fibrosis airways contributes to increased pulmonary cathepsin S production,2014
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCN4,8840,Gene,mRNA,up-regulation,WISP1,NA, qRT-PCR; Immunohistochemistry etc.,no,MiR-92a inhibt TGF-B1-induced WISP1 expression in pulmonary fibrosis.,24953558,MiR-92a regulates TGF-B1-induced WISP1 expression in pulmonary fibrosis,2014
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MMP3,4314,Gene,mRNA,up-regulation,NA,NA,Immunohistochemistry; Blood biomarker levels of MMP3; CXCL13 in a separate cohort of IPF patients etc.,no,MMP3 and CXCL13 are systemic biomarkers that reflect the aggregate burden of these pathological features across total lung tissue. These biomarkers may have clinical utility as prognostic and/or surrogate biomarkers of disease activity in interventional studies in IPF.,25217476,Heterogeneous gene expression signatures correspond to distinct lung pathologies and biomarkers of disease severity in idiopathic pulmonary fibrosis,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL13,10563,Gene,mRNA,up-regulation,NA,NA,Immunohistochemistry; Blood biomarker levels of MMP3; CXCL13 in a separate cohort of IPF patients etc.,no,MMP3 and CXCL13 are systemic biomarkers that reflect the aggregate burden of these pathological features across total lung tissue. These biomarkers may have clinical utility as prognostic and/or surrogate biomarkers of disease activity in interventional studies in IPF.,25217476,Heterogeneous gene expression signatures correspond to distinct lung pathologies and biomarkers of disease severity in idiopathic pulmonary fibrosis,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MMP7,4316,Gene,mRNA,up-regulation,NA,NA,Cell Culture; Microarray Statistical Data Analysis; Gene Expression Analysis,no,MMP7 was previously shown to be a regulator and potentially predictive protein plasma biomarker in IPF. ,25029475,A novel genomic signature with translational significance for human idiopathic pulmonary fibrosis,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,FN1,2335,Gene,mRNA,up-regulation,NA,NA,Immunohistochemistry;  qRT-PCR etc.,no,"Next, we analyzed the expression of the well-characterized Wnt target genes fibronectin (Fn) 1, matrix metalloproteinase (Mmp) 7, and cyclin D1 in IPF lungs. As depicted in Figure 7b, all of these Wnt target genes were upregulated in IPF lung samples, as compared with transplant donor samples.",18478089,Functional Wnt signaling is increased in idiopathic pulmonary fibrosis,2008
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MMP7,4316,Gene,mRNA,up-regulation,NA,NA,Immunohistochemistry;  qRT-PCR etc.,no,"Next, we analyzed the expression of the well-characterized Wnt target genes fibronectin (Fn) 1, matrix metalloproteinase (Mmp) 7, and cyclin D1 in IPF lungs. As depicted in Figure 7b, all of these Wnt target genes were upregulated in IPF lung samples, as compared with transplant donor samples.",18478089,Functional Wnt signaling is increased in idiopathic pulmonary fibrosis,2008
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCND1,595,Gene,mRNA,up-regulation,NA,NA,Immunohistochemistry;  qRT-PCR etc.,no,"Next, we analyzed the expression of the well-characterized Wnt target genes fibronectin (Fn) 1, matrix metalloproteinase (Mmp) 7, and cyclin D1 in IPF lungs. As depicted in Figure 7b, all of these Wnt target genes were upregulated in IPF lung samples, as compared with transplant donor samples.",18478089,Functional Wnt signaling is increased in idiopathic pulmonary fibrosis,2008
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCNA2,890,Gene,mRNA,up-regulation,NA,NA,qRT-PCR; ELISA;  etc.,no,"One of the remarkable features of our study is the localization of increased CCNA2 expression to the alveolar epithelium, rather than to fibroblasts or myofibroblastic foci. CCNA2 is the main A-type cyclin present in somatic cells (36) and a mediator of the cell cycle. The overexpression and localization of CCNA2 to epithelial cells but not to mesenchymal cells suggests that IPF-AEx is probably an extension of the epithelial injury and dysregulation that characterizes IPF (37) and definitely is not a result of uncontrolled fibroblast proliferation.",19363140,Gene expression profiles of acute exacerbations of idiopathic pulmonary fibrosis,2009
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CCL13,6357,Gene,mRNA,up-regulation,IGF-I,NA,qRT-PCR; Immunohistochemistry; Bleomycin exposure etc.,no,"Our gene expression profiling study identified several chemokines (CCL13, CXCL12, and CXCL14) and growth factors and their receptors (insulin-like growth factor-I [IGF-I], IGF-I-binding protein-5, and platelet-derived growth factor receptor-like) to be overexpressed in the lung specimens obtained from patients with IIP.",16998095,Gene expression profiling of familial and sporadic interstitial pneumonia,2007
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CXCL14,9547,Gene,mRNA,up-regulation,NA,NA,qRT-PCR; Immunohistochemistry; Bleomycin exposure etc.,no,"Our gene expression profiling study identified several chemokines (CCL13, CXCL12, and CXCL14) and growth factors and their receptors (insulin-like growth factor-I [IGF-I], IGF-I-binding protein-7, and platelet-derived growth factor receptor-like) to be overexpressed in the lung specimens obtained from patients with IIP.",16998095,Gene expression profiling of familial and sporadic interstitial pneumonia,2007
lung,Pulmonary_Disease_Chronic_Obstructive,homo_sapiens,CXCL8,3576,Gene,mRNA,histone hyperacetylation,NA,NA,qRT-PCR;  HDAC activity assay etc.,no,Patients with COPD have a progressive reduction in total HDAC activity that reflects the severity of the disease; Specimens of lung tissue obtained from patients with increasing clinical stages of COPD had graded reductions in HDAC activity and increases in interleukin-8 messenger RNA (mRNA) and histone-4 acetylation at the interleukin-8 promoter.,15888697,Decreased histone deacetylase activity in chronic obstructive pulmonary disease,2005
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,POSTN,10631,Gene,mRNA,up-regulation,NA,NA,BALF; Immunohistochemistry; ELISA etc.,no,"Periostin, a matrix protein, is a novel biomarker for idiopathic interstitial pneumonias.",21177844,"Periostin, a matrix protein, is a novel biomarker for idiopathic interstitial pneumonias",2011
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,FOXJ1,2302,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"Recursive feature elimination using gene expression values identified FOXJ1, NELL2, SCGB3A1, LRRC34 and MYL3 as the top five most predictive genes (Fig 8D).",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,LRRC34,151827,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"Recursive feature elimination using gene expression values identified FOXJ1, NELL2, SCGB3A1, LRRC34 and MYL3 as the top five most predictive genes (Fig 8D).",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MYL3,4634,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"Recursive feature elimination using gene expression values identified FOXJ1, NELL2, SCGB3A1, LRRC34 and MYL3 as the top five most predictive genes (Fig 8D).",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,NELL2,4753,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"Recursive feature elimination using gene expression values identified FOXJ1, NELL2, SCGB3A1, LRRC34 and MYL3 as the top five most predictive genes (Fig 8D).",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SCGB3A1,92304,Gene,mRNA,up-regulation,NA,NA,"Identification of gene-expression subsets, principal component analysis and differential gene expression; Determination of ligand-receptor interactions using single cell RNA datasets; Development of pirfenidone response signature",no,"Recursive feature elimination using gene expression values identified FOXJ1, NELL2, SCGB3A1, LRRC34 and MYL3 as the top five most predictive genes (Fig 8D).",33755690,Lung gene expression and single cell analyses reveal two subsets of idiopathic pulmonary fibrosis (IPF) patients associated with different pathogenic mechanisms,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,LCN2,3934,Gene,mRNA,up-regulation,NA,NA,Cell Culture; Microarray Statistical Data Analysis; Gene Expression Analysis,no,"Remarkably, similar expression change intensities were found for several common differentially expressed genes in both species (Figure 2, Tables 2 and  and3),3), such as matrix metallopeptidase 7 (MMP7/Mmp7; 9.2-fold in IPF, 21.1-fold in bleomycin), the phospholipase A2, group 2A (PLA2G2A/Pla2 g2a; 7.8-fold in IPF, 4.3-fold in bleomycin), lipocalin-2 (LCN2/Lcn2 4.6-fold in IPF, 3.5-fold in bleomycin), collagen triple helix repeat containing 1 (CTHRC1/Cthrc1; 4.3-fold in IPF, 3.2-fold in bleomycin), and complement component 6 (C6; 3.7-fold in IPF, 6.5-fold in bleomycin).",25029475,A novel genomic signature with translational significance for human idiopathic pulmonary fibrosis,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,C6,729,Gene,mRNA,up-regulation,NA,NA,Cell Culture; Microarray Statistical Data Analysis; Gene Expression Analysis,no,"Remarkably, similar expression change intensities were found for several common differentially expressed genes in both species (Figure 2, Tables 2 and  and3),3), such as matrix metallopeptidase 7 (MMP7/Mmp7; 9.2-fold in IPF, 21.1-fold in bleomycin), the phospholipase A2, group 2A (PLA2G2A/Pla2 g2a; 7.8-fold in IPF, 4.3-fold in bleomycin), lipocalin-2 (LCN2/Lcn2 4.6-fold in IPF, 3.5-fold in bleomycin), collagen triple helix repeat containing 1 (CTHRC1/Cthrc1; 4.3-fold in IPF, 3.2-fold in bleomycin), and complement component 6 (C6; 3.7-fold in IPF, 6.5-fold in bleomycin).",25029475,A novel genomic signature with translational significance for human idiopathic pulmonary fibrosis,2015
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,ROR2,4920,Gene,mRNA,up-regulation,NA,WNT/B-CATENIN signaling pathway,qRT-PCR; ELISA etc.,no,"ROR2 may be related to the development of IPF, and its protein level may be a useful and severity-dependent candidate marker for IPF.",32951408,Upregulation of receptor tyrosine kinase-like orphan receptor 2 in idiopathic pulmonary fibrosis,2020
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,S100A4,6275,Gene,mRNA,up-regulation,NA,NA,qRT-PCR; ELISA; Immunofluorescence etc.,no,"S100A4 is expressed by alpha-SMA-positive cells in the interstitium of the IPF patients. S100A4 may participate in the development of IPF, and its protein level may be a candidate diagnostic and therapeutic marker for IPF.",32755764,The S100 calcium-binding protein A4 level is elevated in the lungs of patients with idiopathic pulmonary fibrosis,2020
